krs,year,value
1001,2015,0.937
1002,2015,0.958
1003,2015,0.92
1004,2015,0.9309999999999999
1051,2015,0.47200000000000003
1053,2015,0.8540000000000001
1054,2015,0.48
1055,2015,0.649
1056,2015,0.8140000000000001
1057,2015,0.48200000000000004
1058,2015,0.6509999999999999
1059,2015,0.456
1060,2015,0.8140000000000001
1061,2015,0.722
1062,2015,0.853
2000,2015,0.9440000000000001
3101,2015,0.897
3102,2015,0.8390000000000001
3103,2015,0.851
3151,2015,0.439
3152,2015,0.6709999999999999
3153,2015,0.725
3154,2015,0.58
3155,2015,0.574
3156,2015,0.66
3157,2015,0.698
3158,2015,0.7929999999999999
3241,2015,0.89
3251,2015,0.58
3252,2015,0.613
3254,2015,0.6509999999999999
3255,2015,0.573
3256,2015,0.7390000000000001
3257,2015,0.5770000000000001
3351,2015,0.59
3352,2015,0.6729999999999999
3353,2015,0.7140000000000001
3354,2015,0.41100000000000003
3355,2015,0.622
3356,2015,0.627
3357,2015,0.603
3358,2015,0.6659999999999999
3359,2015,0.679
3360,2015,0.5539999999999999
3361,2015,0.64
3401,2015,0.955
3402,2015,0.94
3403,2015,0.938
3404,2015,0.9359999999999999
3405,2015,0.956
3451,2015,0.6679999999999999
3452,2015,0.631
3453,2015,0.523
3454,2015,0.598
3455,2015,0.732
3456,2015,0.682
3457,2015,0.608
3458,2015,0.644
3459,2015,0.594
3460,2015,0.648
3461,2015,0.691
3462,2015,0.47200000000000003
4011,2015,0.9279999999999999
4012,2015,0.9690000000000001
5111,2015,0.9470000000000001
5112,2015,0.7859999999999999
5113,2015,0.855
5114,2015,0.885
5116,2015,0.8140000000000001
5117,2015,0.898
5119,2015,0.7909999999999999
5120,2015,0.777
5122,2015,0.6509999999999999
5124,2015,0.8640000000000001
5154,2015,0.439
5158,2015,0.802
5162,2015,0.7390000000000001
5166,2015,0.6809999999999999
5170,2015,0.6990000000000001
5314,2015,0.975
5315,2015,0.9670000000000001
5316,2015,0.973
5334,2015,0.8640000000000001
5358,2015,0.7879999999999999
5362,2015,0.727
5366,2015,0.507
5370,2015,0.514
5374,2015,0.379
5378,2015,0.649
5382,2015,0.664
5512,2015,0.9
5513,2015,0.93
5515,2015,0.8590000000000001
5554,2015,0.608
5558,2015,0.516
5562,2015,0.8270000000000001
5566,2015,0.616
5570,2015,0.626
5711,2015,0.823
5754,2015,0.503
5758,2015,0.682
5762,2015,0.43200000000000005
5766,2015,0.642
5770,2015,0.608
5774,2015,0.6920000000000001
5911,2015,0.92
5913,2015,0.792
5914,2015,0.8740000000000001
5915,2015,0.738
5916,2015,0.8320000000000001
5954,2015,0.6729999999999999
5958,2015,0.835
5962,2015,0.643
5966,2015,0.46299999999999997
5970,2015,0.64
5974,2015,0.76
5978,2015,0.797
6411,2015,0.95
6412,2015,0.946
6413,2015,0.92
6414,2015,0.948
6431,2015,0.768
6432,2015,0.5870000000000001
6433,2015,0.713
6434,2015,0.922
6435,2015,0.907
6436,2015,0.6779999999999999
6437,2015,0.925
6438,2015,0.83
6439,2015,0.71
6440,2015,0.6409999999999999
6531,2015,0.599
6532,2015,0.456
6533,2015,0.42700000000000005
6534,2015,0.499
6535,2015,0.32799999999999996
6611,2015,0.846
6631,2015,0.6890000000000001
6632,2015,0.491
6633,2015,0.41100000000000003
6634,2015,0.297
6635,2015,0.612
6636,2015,0.431
7111,2015,0.8
7131,2015,0.527
7132,2015,0.35700000000000004
7133,2015,0.7090000000000001
7134,2015,0.588
7135,2015,0.72
7137,2015,0.7759999999999999
7138,2015,0.616
7140,2015,0.7140000000000001
7141,2015,0.532
7143,2015,0.743
7211,2015,0.846
7231,2015,0.424
7232,2015,0.198
7233,2015,0.276
7235,2015,0.446
7311,2015,0.9520000000000001
7312,2015,0.9079999999999999
7313,2015,0.812
7314,2015,0.941
7315,2015,0.892
7316,2015,0.7759999999999999
7317,2015,0.8440000000000001
7318,2015,0.943
7319,2015,0.872
7320,2015,0.764
7331,2015,0.763
7332,2015,0.642
7333,2015,0.575
7334,2015,0.615
7335,2015,0.623
7336,2015,0.633
7337,2015,0.535
7338,2015,0.8540000000000001
7339,2015,0.809
7340,2015,0.503
8111,2015,0.8590000000000001
8115,2015,0.738
8116,2015,0.727
8117,2015,0.835
8118,2015,0.77
8119,2015,0.711
8121,2015,0.8140000000000001
8125,2015,0.617
8126,2015,0.73
8127,2015,0.654
8128,2015,0.612
8135,2015,0.675
8136,2015,0.6729999999999999
8211,2015,0.728
8212,2015,0.912
8215,2015,0.7190000000000001
8216,2015,0.684
8221,2015,0.879
8222,2015,0.929
8225,2015,0.39799999999999996
8226,2015,0.765
8231,2015,0.89
8235,2015,0.605
8236,2015,0.6409999999999999
8237,2015,0.608
8311,2015,0.7609999999999999
8315,2015,0.43
8316,2015,0.452
8317,2015,0.622
8325,2015,0.728
8326,2015,0.691
8327,2015,0.855
8335,2015,0.7
8336,2015,0.61
8337,2015,0.622
8415,2015,0.7090000000000001
8416,2015,0.722
8417,2015,0.574
8421,2015,0.9129999999999999
8425,2015,0.609
8426,2015,0.528
8435,2015,0.738
8436,2015,0.625
8437,2015,0.58
9161,2015,0.8909999999999999
9162,2015,0.9309999999999999
9163,2015,0.9890000000000001
9171,2015,0.82
9172,2015,0.895
9173,2015,0.5870000000000001
9174,2015,0.636
9175,2015,0.525
9176,2015,0.436
9177,2015,0.525
9178,2015,0.6409999999999999
9179,2015,0.784
9180,2015,0.725
9181,2015,0.573
9182,2015,0.679
9183,2015,0.544
9184,2015,0.784
9185,2015,0.511
9186,2015,0.537
9187,2015,0.64
9188,2015,0.6629999999999999
9189,2015,0.8220000000000001
9190,2015,0.613
9261,2015,0.929
9262,2015,0.894
9263,2015,0.898
9271,2015,0.45799999999999996
9272,2015,0.252
9273,2015,0.469
9274,2015,0.503
9275,2015,0.299
9276,2015,0.327
9277,2015,0.369
9278,2015,0.126
9279,2015,0.377
9361,2015,0.915
9362,2015,0.978
9363,2015,0.955
9371,2015,0.542
9372,2015,0.284
9373,2015,0.446
9374,2015,0.578
9375,2015,0.602
9376,2015,0.305
9377,2015,0.613
9461,2015,0.961
9462,2015,0.937
9463,2015,0.81
9464,2015,0.976
9471,2015,0.41100000000000003
9472,2015,0.42100000000000004
9473,2015,0.612
9474,2015,0.524
9475,2015,0.588
9476,2015,0.485
9477,2015,0.623
9478,2015,0.599
9479,2015,0.606
9561,2015,0.8370000000000001
9562,2015,0.875
9563,2015,0.773
9564,2015,0.888
9565,2015,0.9390000000000001
9571,2015,0.59
9572,2015,0.563
9573,2015,0.542
9574,2015,0.609
9575,2015,0.49700000000000005
9576,2015,0.57
9577,2015,0.6679999999999999
9661,2015,0.9279999999999999
9662,2015,0.7909999999999999
9663,2015,0.914
9671,2015,0.425
9672,2015,0.5479999999999999
9673,2015,0.439
9674,2015,0.501
9675,2015,0.49200000000000005
9676,2015,0.639
9677,2015,0.384
9678,2015,0.618
9679,2015,0.48200000000000004
9761,2015,0.8420000000000001
9762,2015,0.9640000000000001
9763,2015,0.9620000000000001
9764,2015,0.902
9771,2015,0.599
9772,2015,0.715
9773,2015,0.631
9774,2015,0.584
9775,2015,0.773
9776,2015,0.511
9777,2015,0.583
9778,2015,0.525
9779,2015,0.652
9780,2015,0.7120000000000001
10041,2015,0.7190000000000001
10042,2015,0.5329999999999999
10043,2015,0.743
10044,2015,0.741
10045,2015,0.843
10046,2015,0.511
11000,2015,0.9009999999999999
12051,2015,0.893
12052,2015,0.884
12053,2015,0.441
12054,2015,0.868
12060,2015,0.478
12061,2015,0.585
12062,2015,0.179
12063,2015,0.618
12064,2015,0.5489999999999999
12065,2015,0.607
12066,2015,0.625
12067,2015,0.49700000000000005
12068,2015,0.506
12069,2015,0.502
12070,2015,0.46799999999999997
12071,2015,0.317
12072,2015,0.45899999999999996
12073,2015,0.515
13003,2015,0.907
13004,2015,0.861
13071,2015,0.542
13072,2015,0.223
13073,2015,0.568
13074,2015,0.38799999999999996
13075,2015,0.515
13076,2015,0.318
14511,2015,0.6829999999999999
14521,2015,0.267
14522,2015,0.32799999999999996
14523,2015,0.424
14524,2015,0.406
14612,2015,0.8059999999999999
14625,2015,0.345
14626,2015,0.359
14627,2015,0.44
14628,2015,0.298
14713,2015,0.847
14729,2015,0.307
14730,2015,0.29100000000000004
15001,2015,0.728
15002,2015,0.665
15003,2015,0.6
15081,2015,0.365
15082,2015,0.371
15083,2015,0.2
15084,2015,0.366
15085,2015,0.313
15086,2015,0.21899999999999997
15087,2015,0.32799999999999996
15088,2015,0.278
15089,2015,0.446
15090,2015,0.49
15091,2015,0.4
16051,2015,0.713
16052,2015,0.8140000000000001
16053,2015,0.7659999999999999
16054,2015,0.851
16055,2015,0.7709999999999999
16056,2015,0.5479999999999999
16061,2015,0.384
16062,2015,0.474
16063,2015,0.183
16064,2015,0.5760000000000001
16065,2015,0.336
16066,2015,0.428
16067,2015,0.483
16068,2015,0.32
16069,2015,0.38
16070,2015,0.424
16071,2015,0.483
16072,2015,0.5489999999999999
16073,2015,0.39
16074,2015,0.419
16075,2015,0.478
16076,2015,0.452
16077,2015,0.38299999999999995
